round,variant,milliseconds,uploaded_bytes
3,per_brick,2.884903,10982672
3,cpu_arrays,3.310047,13473632
3,direct,1.644449,13473632
4,cpu_arrays,3.777905,13473632
4,direct,1.356914,13473632
4,per_brick,2.446154,10982672
5,direct,1.455837,13473632
5,per_brick,2.138422,10982672
5,cpu_arrays,3.726309,13473632
6,per_brick,2.832847,10982672
6,cpu_arrays,3.413358,13473632
6,direct,1.613297,13473632
7,cpu_arrays,3.898223,13473632
7,direct,1.325957,13473632
7,per_brick,2.452469,10982672
8,direct,1.322121,13473632
8,per_brick,2.034972,10982672
8,cpu_arrays,3.835261,13473632
9,per_brick,3.049839,10982672
9,cpu_arrays,3.360496,13473632
9,direct,1.685654,13473632
10,cpu_arrays,3.780259,13473632
10,direct,1.264884,13473632
10,per_brick,3.084572,10982672
11,direct,1.77345,13473632
11,per_brick,2.592778,10982672
11,cpu_arrays,3.59916,13473632
12,per_brick,2.736232,10982672
12,cpu_arrays,3.206201,13473632
12,direct,1.741315,13473632
13,cpu_arrays,3.819351,13473632
13,direct,1.309862,13473632
13,per_brick,2.404489,10982672
14,direct,1.299633,13473632
14,per_brick,2.001779,10982672
14,cpu_arrays,3.908204,13473632
15,per_brick,2.912539,10982672
15,cpu_arrays,3.29832,13473632
15,direct,1.632041,13473632
16,cpu_arrays,3.848595,13473632
16,direct,1.399182,13473632
16,per_brick,2.485069,10982672
17,direct,1.436223,13473632
17,per_brick,2.016465,10982672
17,cpu_arrays,3.664179,13473632
18,per_brick,2.722334,10982672
18,cpu_arrays,3.341737,13473632
18,direct,1.629175,13473632
19,cpu_arrays,4.509494,13473632
19,direct,2.107597,13473632
19,per_brick,3.800989,10982672
20,direct,1.681888,13473632
20,per_brick,2.253377,10982672
20,cpu_arrays,4.10951,13473632
21,per_brick,2.94303,10982672
21,cpu_arrays,3.498433,13473632
21,direct,1.797494,13473632
22,cpu_arrays,4.387122,13473632
22,direct,1.507054,13473632
22,per_brick,2.556958,10982672
23,direct,1.400733,13473632
23,per_brick,2.026237,10982672
23,cpu_arrays,3.800398,13473632
24,per_brick,3.042633,10982672
24,cpu_arrays,4.068455,13473632
24,direct,2.093619,13473632
25,cpu_arrays,4.41405,13473632
25,direct,1.504443,13473632
25,per_brick,2.534196,10982672
26,direct,1.471749,13473632
26,per_brick,2.100486,10982672
26,cpu_arrays,4.604643,13473632
27,per_brick,2.931896,10982672
27,cpu_arrays,4.468595,13473632
27,direct,1.911816,13473632
28,cpu_arrays,4.294867,13473632
28,direct,1.544591,13473632
28,per_brick,2.878051,10982672
29,direct,1.401556,13473632
29,per_brick,2.007351,10982672
29,cpu_arrays,4.11203,13473632
30,per_brick,2.924958,10982672
30,cpu_arrays,3.612071,13473632
30,direct,1.817043,13473632
31,cpu_arrays,3.964279,13473632
31,direct,1.432687,13473632
31,per_brick,2.513159,10982672
32,direct,1.437541,13473632
32,per_brick,2.059894,10982672
32,cpu_arrays,3.775648,13473632
